date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-01-29,4,0.0,0,0.0,0.4,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,75,0.008,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,4,0.0,0,0.0,0.4,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,4,0.0,0,0.0,0.4,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,4,0.0,0,0.0,0.4,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,258,0.026,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,5,0.0,0,0.0,0.5,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,5,0.714,0,0.0,0.5,0.071,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,5,0.714,0,0.0,0.5,0.071,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,5,0.143,0,0.0,0.5,0.014,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,73.0,0.007,0.002,510.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,5,0.143,0,0.0,0.5,0.014,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,76.0,0.008,0.002,531.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,5,0.143,0,0.0,0.5,0.014,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,79.0,0.008,0.002,552.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,7,0.429,0,0.0,0.701,0.043,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,832,0.083,82.0,0.008,0.005,191.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,7,0.286,0,0.0,0.701,0.029,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2192,0.219,265.0,0.027,0.001,926.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,8,0.429,0,0.0,0.801,0.043,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2629,0.263,315.0,0.032,0.001,734.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,8,0.429,0,0.0,0.801,0.043,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,314.0,0.031,0.001,731.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,8,0.429,0,0.0,0.801,0.043,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,314.0,0.031,0.001,731.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,8,0.429,0,0.0,0.801,0.043,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,313.0,0.031,0.001,729.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,8,0.429,0,0.0,0.801,0.043,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2935,0.294,312.0,0.031,0.001,727.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,8,0.143,0,0.0,0.801,0.014,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,451.0,0.045,0.0,3153.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,9,0.286,0,0.0,0.901,0.029,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5042,0.505,407.0,0.041,0.001,1423.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,9,0.143,0,0.0,0.901,0.014,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,463.0,0.046,0.0,3237.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,9,0.143,0,0.0,0.901,0.014,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6693,0.67,570.0,0.057,0.0,3986.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,9,0.143,0,0.0,0.901,0.014,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,664.0,0.066,0.0,4643.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,9,0.143,0,0.0,0.901,0.014,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,757.0,0.076,0.0,5293.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,9,0.143,0,0.0,0.901,0.014,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,8894,0.89,851.0,0.085,0.0,5951.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,13,0.714,0,0.0,1.301,0.071,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,12990,1.3,1286.0,0.129,0.001,1801.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,13,0.571,0,0.0,1.301,0.057,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1173.0,0.117,0.0,2054.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,13,0.571,0,0.0,1.301,0.057,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1093.0,0.109,0.001,1914.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,13,0.571,0,0.0,1.301,0.057,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1013.0,0.101,0.001,1774.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
