date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-01,1,0.0,0,0.0,0.337,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,1,0.0,0,0.0,0.337,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,1,0.0,0,0.0,0.337,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,1,0.0,0,0.0,0.337,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,1,0.0,0,0.0,0.337,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,1,0.143,0,0.0,0.337,0.048,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,1,0.143,0,0.0,0.337,0.048,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,1,0.0,0,0.0,0.337,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,1,0.0,0,0.0,0.337,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,211,0.071,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,1,0.0,0,0.0,0.337,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,1,0.0,0,0.0,0.337,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,4,0.429,0,0.0,1.348,0.144,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,8,1.0,0,0.0,2.695,0.337,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,18,2.429,0,0.0,6.064,0.818,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,26,3.571,0,0.0,8.76,1.203,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,577,0.194,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,52,7.286,0,0.0,17.519,2.455,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,694,0.234,69.0,0.023,0.106,9.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,78,11.0,0,0.0,26.279,3.706,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,69.0,0.023,0.159,6.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,84,11.857,0,0.0,28.301,3.995,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,813,0.274,69.0,0.023,0.172,5.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,115,15.857,0,0.0,38.745,5.342,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,76.0,0.026,0.209,4.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,136,18.286,0,0.0,45.82,6.161,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,84.0,0.028,0.218,4.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,160,20.286,0,0.0,53.906,6.835,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,92.0,0.031,0.22,4.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,194,24.0,0,0.0,65.361,8.086,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,99.0,0.033,0.242,4.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,235,26.143,0,0.0,79.174,8.808,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,99.0,0.033,0.264,3.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,249,24.429,0,0.0,83.891,8.23,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,107.0,0.036,0.228,4.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,265,25.857,0,0.0,89.282,8.712,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,115.0,0.039,0.225,4.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,290,25.0,1,0.143,97.705,8.423,0.337,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1730,0.583,115.0,0.039,0.217,4.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,329,27.571,1,0.143,110.844,9.289,0.337,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1954,0.658,130.0,0.044,0.212,4.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,407,35.286,1,0.143,137.123,11.888,0.337,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,154.0,0.052,0.229,4.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,424,32.857,3,0.429,142.851,11.07,1.011,0.144,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,177.0,0.06,0.186,5.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,482,35.286,3,0.429,162.392,11.888,1.011,0.144,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,200.0,0.067,0.176,5.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,532,40.429,3,0.429,179.238,13.621,1.011,0.144,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3065,1.033,223.0,0.075,0.181,5.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,156.7,52.7942191172348
2020-04-01,571,43.714,4,0.571,192.377,14.728,1.348,0.193,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3275,1.103,237.0,0.08,0.184,5.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,663,53.286,7,0.857,223.373,17.953,2.358,0.289,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,272.0,0.092,0.196,5.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
