date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-02-24,1,0.0,0,0.0,0.572,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,23,0.0,0,0.0,13.156,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,33,0.0,0,0.0,18.876,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,33,0.0,0,0.0,18.876,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,36,0.0,0,0.0,20.591,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,41,5.857,0,0.0,23.451,3.35,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,47,6.714,0,0.0,26.883,3.84,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,49,6.857,0,0.0,28.027,3.922,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,49,3.714,0,0.0,28.027,2.125,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,52,2.714,0,0.0,29.743,1.553,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,55,3.143,0,0.0,31.459,1.798,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5334,3.051,0.0,0.0,0.0,0.0,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,60,3.429,0,0.0,34.319,1.961,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,85,6.286,0,0.0,48.619,3.595,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6420,3.672,0.0,0.0,0.0,0.0,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,85,5.429,0,0.0,48.619,3.105,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,95,6.571,0,0.0,54.339,3.759,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7830,4.479,0.0,0.0,0.0,0.0,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,110,8.714,0,0.0,62.918,4.984,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,8354,4.778,0.0,0.0,0.0,0.0,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,195,20.429,0,0.0,111.537,11.685,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,8810,5.039,0.0,0.0,0.0,0.0,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,195,20.0,0,0.0,111.537,11.44,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,9042,5.172,530.0,0.303,0.038,26.5,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,195,19.286,0,0.0,111.537,11.031,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,562.0,0.321,0.034,29.1,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,210,17.857,0,0.0,120.117,10.214,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,595.0,0.34,0.03,33.3,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,214,18.429,0,0.0,122.405,10.541,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,605.0,0.346,0.03,32.8,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,214,17.0,1,0.143,122.405,9.724,0.572,0.082,0,0.0,0,0.0,0.0,0.0,0.0,0.0,12131,6.939,614.0,0.351,0.028,36.1,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,228,16.857,1,0.143,130.413,9.642,0.572,0.082,0,0.0,0,0.0,0.0,0.0,0.0,0.0,13553,7.752,743.0,0.425,0.023,44.1,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,256,8.714,1,0.143,146.428,4.984,0.572,0.082,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,942.0,0.539,0.009,108.1,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,278,11.857,1,0.143,159.012,6.782,0.572,0.082,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1173.0,0.671,0.01,98.9,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,285,12.857,1,0.143,163.016,7.354,0.572,0.082,0,0.0,0,0.0,0.0,0.0,0.0,0.0,19098,10.924,1326.0,0.758,0.01,103.1,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,305,13.571,1,0.143,174.456,7.763,0.572,0.082,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1505.0,0.861,0.009,110.9,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,334,17.143,2,0.286,191.043,9.805,1.144,0.163,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1684.0,0.963,0.01,98.2,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,377,23.286,2,0.143,215.639,13.319,1.144,0.082,0,0.0,0,0.0,0.0,0.0,0.0,0.0,25169,14.396,1863.0,1.066,0.012,80.0,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,392,23.429,3,0.286,224.218,13.401,1.716,0.163,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1867.0,1.068,0.013,79.7,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,419,23.286,4,0.429,239.662,13.319,2.288,0.245,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1811.0,1.036,0.013,77.8,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,458,25.714,4,0.429,261.97,14.708,2.288,0.245,0,0.0,0,0.0,0.0,0.0,0.0,0.0,29533,16.892,1755.0,1.004,0.015,68.3,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,466,25.857,4,0.429,266.545,14.79,2.288,0.245,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1603.0,0.917,0.016,62.0,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,476,24.429,4,0.429,272.265,13.973,2.288,0.245,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1427.0,0.816,0.017,58.4,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,499,23.571,4,0.286,285.421,13.483,2.288,0.163,0,0.0,0,0.0,0.0,0.0,0.0,0.0,31895,18.243,1250.0,0.715,0.019,53.0,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,515,19.714,4,0.286,294.573,11.276,2.288,0.163,0,0.0,0,0.0,0.0,0.0,0.0,0.0,32596,18.644,1061.0,0.607,0.019,53.8,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,567,25.0,4,0.143,324.316,14.3,2.288,0.082,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1046.0,0.598,0.024,41.8,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,569,21.429,4,0.0,325.46,12.257,2.288,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1031.0,0.59,0.021,48.1,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,643,26.429,4,0.0,367.787,15.117,2.288,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1016.0,0.581,0.026,38.4,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,672,29.429,4,0.0,384.374,16.833,2.288,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,37996,21.733,1097.0,0.627,0.027,37.3,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,688,30.286,4,0.0,393.526,17.323,2.288,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39256,22.454,1164.0,0.666,0.026,38.4,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,700,28.714,4,0.0,400.39,16.424,2.288,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,44386,25.388,1784.0,1.02,0.016,62.1,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,756,34.429,4,0.0,432.421,19.693,2.288,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,47684,27.275,2155.0,1.233,0.016,62.6,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,811,34.857,5,0.143,463.881,19.938,2.86,0.082,0,0.0,0,0.0,0.0,0.0,0.0,0.0,50127,28.672,2312.0,1.322,0.015,66.3,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,823,36.286,5,0.143,470.744,20.755,2.86,0.082,0,0.0,0,0.0,0.0,0.0,0.0,0.0,52804,30.203,2501.0,1.431,0.015,68.9,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,887,34.857,5,0.143,507.351,19.938,2.86,0.082,0,0.0,0,0.0,0.0,0.0,0.0,0.0,55096,31.514,2636.0,1.508,0.013,75.6,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,925,36.143,6,0.286,529.087,20.673,3.432,0.163,0,0.0,0,0.0,0.0,0.0,0.0,0.0,57681,32.993,2812.0,1.608,0.013,77.8,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,1040,50.286,6,0.286,594.865,28.763,3.432,0.163,0,0.0,0,0.0,0.0,0.0,0.0,0.0,60706,34.723,3064.0,1.753,0.016,60.9,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,1136,62.286,6,0.286,649.776,35.627,3.432,0.163,0,0.0,0,0.0,0.0,0.0,0.0,0.0,63973,36.592,2798.0,1.6,0.022,44.9,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,1361,86.429,6,0.286,778.473,49.436,3.432,0.163,0,0.0,0,0.0,0.0,0.0,0.0,0.0,67327,38.51,2806.0,1.605,0.031,32.5,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,1528,102.429,7,0.286,873.994,58.588,4.004,0.163,0,0.0,0,0.0,0.0,0.0,0.0,0.0,70813,40.504,2955.0,1.69,0.035,28.8,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,1671,121.143,7,0.286,955.788,69.292,4.004,0.163,0,0.0,0,0.0,0.0,0.0,0.0,0.0,73272,41.911,2924.0,1.672,0.041,24.1,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
