date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-02-28,1,0.0,0,0.0,0.106,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,1,0.0,0,0.0,0.106,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-1114.0,-117.972645384077
2020-03-01,1,0.0,0,0.0,0.106,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,1,0.0,0,0.0,0.106,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,1,0.0,0,0.0,0.106,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5000,0.53,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,6,0.857,0,0.0,0.635,0.091,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,6,0.857,0,0.0,0.635,0.091,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,6,0.714,0,0.0,0.635,0.076,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,6,0.714,0,0.0,0.635,0.076,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,6,0.714,0,0.0,0.635,0.076,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,6,0.714,0,0.0,0.635,0.076,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,9,1.143,0,0.0,0.953,0.121,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,611.0,0.065,0.002,534.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,9,0.429,0,0.0,0.953,0.045,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,611.0,0.065,0.001,1424.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,12,0.857,0,0.0,1.271,0.091,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,10500,1.112,611.0,0.065,0.001,713.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,27,3.0,0,0.0,2.859,0.318,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,0.076,0.004,240.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,27,3.0,0,0.0,2.859,0.318,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,829.0,0.088,0.004,276.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,27,3.0,0,0.0,2.859,0.318,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,938.0,0.099,0.003,312.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,36,4.286,0,0.0,3.812,0.454,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16000,1.694,1048.0,0.111,0.004,244.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,36,3.857,0,0.0,3.812,0.408,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1067.0,0.113,0.004,276.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,51,6.0,0,0.0,5.401,0.635,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1087.0,0.115,0.006,181.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,51,5.571,0,0.0,5.401,0.59,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1107.0,0.117,0.005,198.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,69,6.0,0,0.0,7.307,0.635,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,19000,2.012,1018.0,0.108,0.006,169.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,76,7.0,0,0.0,8.048,0.741,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,979.0,0.104,0.007,139.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,76,7.0,0,0.0,8.048,0.741,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,939.0,0.099,0.007,134.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
