date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-01-26,1,0.0,0,0.0,0.026,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-565.3,-14.849776503377
2020-01-27,1,0.0,0,0.0,0.026,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,2,0.0,0,0.0,0.053,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,2,0.0,0,0.0,0.053,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,2,0.0,0,0.0,0.053,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,4,0.571,0,0.0,0.105,0.015,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,4,0.571,0,0.0,0.105,0.015,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,4,0.429,0,0.0,0.105,0.011,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-789.4,-20.7366240434562
2020-02-03,4,0.429,0,0.0,0.105,0.011,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,4,0.286,0,0.0,0.105,0.008,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,5,0.429,0,0.0,0.131,0.011,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,5,0.429,0,0.0,0.131,0.011,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,7,0.429,0,0.0,0.184,0.011,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,0.0,0.054,18.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,7,0.429,0,0.0,0.184,0.011,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,63,0.002,8.0,0.0,0.054,18.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,7,0.429,0,0.0,0.184,0.011,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,0.0,0.054,18.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-963.5,-25.3100294728529
2020-02-10,7,0.429,0,0.0,0.184,0.011,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.061,16.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,7,0.429,0,0.0,0.184,0.011,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.061,16.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,7,0.286,0,0.0,0.184,0.008,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.041,24.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,7,0.286,0,0.0,0.184,0.008,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.048,21.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,7,0.0,0,0.0,0.184,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,7,0.0,0,0.0,0.184,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,7,0.0,0,0.0,0.184,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,109,0.003,6.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-1302.6,-34.217793867502
2020-02-17,8,0.143,0,0.0,0.21,0.004,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.02,49.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,8,0.143,0,0.0,0.21,0.004,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.02,49.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,8,0.143,0,0.0,0.21,0.004,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,0.0,0.018,55.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,8,0.143,0,0.0,0.21,0.004,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.0,0.0,0.016,62.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
