date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-01,6,0.0,0,0.0,0.335,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-265.9,-14.8643198967111
2020-03-02,6,0.0,0,0.0,0.335,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,7,0.0,0,0.0,0.391,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,10,0.0,0,0.0,0.559,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,13,0.0,0,0.0,0.727,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,13,1.857,0,0.0,0.727,0.104,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,13,1.857,0,0.0,0.727,0.104,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,14,1.143,0,0.0,0.783,0.064,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-396.8,-22.1818809139337
2020-03-09,15,1.286,0,0.0,0.839,0.072,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,15,1.143,0,0.0,0.839,0.064,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,17,1.0,0,0.0,0.95,0.056,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,17,0.571,0,0.0,0.95,0.032,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,17,0.571,0,0.0,0.95,0.032,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,28,2.143,2,0.286,1.565,0.12,0.112,0.016,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,28,2.0,2,0.286,1.565,0.112,0.112,0.016,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-468.7,-26.2012287912317
2020-03-16,37,3.143,2,0.286,2.068,0.176,0.112,0.016,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,58,6.143,2,0.286,3.242,0.343,0.112,0.016,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,111,13.429,2,0.286,6.205,0.751,0.112,0.016,0,0.0,0,0.0,0.0,0.0,0.0,0.0,480,0.027,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,199,26.0,3,0.429,11.124,1.453,0.168,0.024,0,0.0,0,0.0,0.0,0.0,0.0,0.0,672,0.038,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,367,50.0,5,0.714,20.516,2.795,0.28,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,959,0.054,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,506,68.286,7,0.714,28.286,3.817,0.391,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1181,0.066,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,789,108.714,14,1.714,44.107,6.077,0.783,0.096,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1661,0.093,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,-442.6,-24.7421887411973
2020-03-23,981,134.857,18,2.286,54.84,7.539,1.006,0.128,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2072,0.116,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,1082,146.286,27,3.571,60.486,8.178,1.509,0.2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2307,0.129,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,1173,151.714,28,3.714,65.573,8.481,1.565,0.208,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2598,0.145,303.0,0.017,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,1403,172.0,34,4.429,78.43,9.615,1.901,0.248,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3125,0.175,350.0,0.02,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,1595,175.429,36,4.429,89.164,9.807,2.012,0.248,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3568,0.199,373.0,0.021,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,1823,188.143,48,5.857,101.909,10.518,2.683,0.327,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3935,0.22,393.0,0.022,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,1924,162.143,58,6.286,107.555,9.064,3.242,0.351,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4123,0.23,352.0,0.02,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,1810.7,101.22160224511
2020-03-30,1962,140.143,60,6.0,109.68,7.834,3.354,0.335,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4219,0.236,307.0,0.017,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,2240,165.429,75,6.857,125.22,9.248,4.193,0.383,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4828,0.27,360.0,0.02,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,2748,225.0,93,9.286,153.618,12.578,5.199,0.519,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5591,0.313,428.0,0.024,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,3163,251.429,120,12.286,176.818,14.055,6.708,0.687,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6302,0.352,454.0,0.025,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,3368,253.286,145,15.571,188.278,14.159,8.106,0.87,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6656,0.372,441.0,0.025,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,3465,234.571,172,17.714,193.7,13.113,9.615,0.99,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6834,0.382,414.0,0.023,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,3646,246.0,180,17.429,203.818,13.752,10.062,0.974,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7249,0.405,447.0,0.025,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,7476.0,417.922736170788
2020-04-06,3747,255.0,191,18.714,209.464,14.255,10.677,1.046,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7590,0.424,482.0,0.027,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,3747,215.286,191,16.571,209.464,12.035,10.677,0.926,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7951,0.444,446.0,0.025,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,4450,243.143,242,21.286,248.764,13.592,13.528,1.19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,8658,0.484,438.0,0.024,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,4965,257.429,272,21.714,277.553,14.391,15.205,1.214,0,0.0,0,0.0,0.0,0.0,0.0,0.0,9639,0.539,477.0,0.027,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,7161,541.857,297,21.714,400.314,30.291,16.603,1.214,0,0.0,0,0.0,0.0,0.0,0.0,0.0,13657,0.763,1000.0,0.056,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,7257,541.714,315,20.429,405.68,30.283,17.609,1.142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,14201,0.794,1052.0,0.059,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,7466,545.714,333,21.857,417.364,30.506,18.615,1.222,0,0.0,0,0.0,0.0,0.0,0.0,0.0,14584,0.815,1048.0,0.059,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,12231.5,683.764305440475
2020-04-13,7529,540.286,355,23.429,420.886,30.203,19.845,1.31,0,0.0,0,0.0,0.0,0.0,0.0,0.0,14826,0.829,1034.0,0.058,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,7603,550.857,369,25.429,425.022,30.794,20.628,1.422,0,0.0,0,0.0,0.0,0.0,0.0,0.0,15098,0.844,1021.0,0.057,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,7858,486.857,388,20.857,439.277,27.216,21.69,1.166,0,0.0,0,0.0,0.0,0.0,0.0,0.0,15614,0.873,994.0,0.056,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,8225,465.714,403,18.714,459.793,26.034,22.528,1.046,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16137,0.902,928.0,0.052,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,8450,184.143,421,17.714,472.371,10.294,23.535,0.99,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16525,0.924,410.0,0.023,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,9022,252.143,456,20.143,504.347,14.095,25.491,1.126,0,0.0,0,0.0,0.0,0.0,0.0,0.0,17513,0.979,473.0,0.026,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
