date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-13,1,0.0,0,0.0,0.008,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,1,0.0,0,0.0,0.008,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,1,0.0,0,0.0,0.008,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,118,0.001,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,5,0.0,0,0.0,0.042,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,5,0.0,0,0.0,0.042,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,119,0.001,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,6,0.857,0,0.0,0.051,0.007,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,6,0.857,0,0.0,0.051,0.007,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,342,0.003,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,9,1.143,0,0.0,0.076,0.01,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,51.0,0.0,0.022,44.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,9,1.143,0,0.0,0.076,0.01,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,45.0,0.0,0.025,39.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,11,1.429,0,0.0,0.093,0.012,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,392,0.003,39.0,0.0,0.037,27.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,11,0.857,0,0.0,0.093,0.007,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,48.0,0.0,0.018,56.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,12,1.0,0,0.0,0.102,0.008,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,58.0,0.0,0.017,58.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
