date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-14,3,0.0,0,0.0,0.095,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,6,0.0,0,0.0,0.189,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,6,0.0,0,0.0,0.189,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,7,0.0,0,0.0,0.221,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,143,0.005,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,7,0.0,0,0.0,0.221,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,11,1.571,0,0.0,0.347,0.05,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,16,2.286,0,0.0,0.504,0.072,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,19,2.286,1,0.143,0.599,0.072,0.032,0.005,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,23,2.429,1,0.143,0.725,0.077,0.032,0.005,0,0.0,0,0.0,0.0,0.0,0.0,0.0,315,0.01,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,27,3.0,2,0.286,0.851,0.095,0.063,0.009,0,0.0,0,0.0,0.0,0.0,0.0,0.0,521,0.016,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,53,6.571,2,0.286,1.67,0.207,0.063,0.009,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,111.0,0.003,0.059,16.9,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,93,12.286,4,0.571,2.931,0.387,0.126,0.018,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,163.0,0.005,0.075,13.3,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,132,17.286,4,0.571,4.16,0.545,0.126,0.018,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,215.0,0.007,0.08,12.4,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,137,17.286,4,0.571,4.317,0.545,0.126,0.018,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,268.0,0.008,0.064,15.5,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,141,17.429,5,0.571,4.443,0.549,0.158,0.018,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2519,0.079,320.0,0.01,0.054,18.4,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,152,18.429,5,0.571,4.79,0.581,0.158,0.018,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,459.0,0.014,0.04,24.9,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,152,17.857,5,0.429,4.79,0.563,0.158,0.014,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,573.0,0.018,0.031,32.1,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,161,15.429,5,0.429,5.074,0.486,0.158,0.014,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,660.0,0.021,0.023,42.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,195,14.571,5,0.143,6.145,0.459,0.158,0.005,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,747.0,0.024,0.02,51.3,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,204,10.286,5,0.143,6.429,0.324,0.158,0.005,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,834.0,0.026,0.012,81.1,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,205,9.714,5,0.143,6.46,0.306,0.158,0.005,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,921.0,0.029,0.011,94.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,205,9.143,5,0.0,6.46,0.288,0.158,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1008.0,0.032,0.009,110.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,214,8.857,5,0.0,6.744,0.279,0.158,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1008.0,0.032,0.009,113.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
