date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-01-23,2,0.0,0,0.0,0.265,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,2,0.0,0,0.0,0.265,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,5,0.0,0,0.0,0.662,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,8,0.0,0,0.0,1.059,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,8,0.0,0,0.0,1.059,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,8,1.143,0,0.0,1.059,0.151,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,10,1.429,0,0.0,1.324,0.189,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,10,1.143,0,0.0,1.324,0.151,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,12,1.429,0,0.0,1.589,0.189,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3610,0.478,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-380.0,-50.3124668996928
2020-02-01,13,1.143,0,0.0,1.721,0.151,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,15,1.0,0,0.0,1.986,0.132,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,15,1.0,0,0.0,1.986,0.132,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,17,1.286,1,0.143,2.251,0.17,0.132,0.019,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,21,1.571,1,0.143,2.78,0.208,0.132,0.019,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,24,2.0,1,0.143,3.178,0.265,0.132,0.019,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,25,1.857,1,0.143,3.31,0.246,0.132,0.019,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,26,1.857,1,0.143,3.442,0.246,0.132,0.019,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,29,2.0,1,0.143,3.84,0.265,0.132,0.019,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,38,3.286,1,0.143,5.031,0.435,0.132,0.019,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,49,4.571,1,0.0,6.488,0.605,0.132,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,50,4.143,1,0.0,6.62,0.549,0.132,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,53,4.143,1,0.0,7.017,0.549,0.132,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,56,4.429,1,0.0,7.414,0.586,0.132,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,56,4.286,1,0.0,7.414,0.567,0.132,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,57,4.0,1,0.0,7.547,0.53,0.132,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,60,3.143,1,0.0,7.944,0.416,0.132,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,62,1.857,1,0.0,8.209,0.246,0.132,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,63,1.857,2,0.143,8.341,0.246,0.265,0.019,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,68,2.143,2,0.143,9.003,0.284,0.265,0.019,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,68,1.714,2,0.143,9.003,0.227,0.265,0.019,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,69,1.857,2,0.143,9.136,0.246,0.265,0.019,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,74,2.429,2,0.143,9.798,0.322,0.265,0.019,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,79,2.714,2,0.143,10.46,0.359,0.265,0.019,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,84,3.143,2,0.143,11.122,0.416,0.265,0.019,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,91,4.0,2,0.0,12.049,0.53,0.265,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,92,3.429,2,0.0,12.181,0.454,0.265,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,94,3.714,2,0.0,12.446,0.492,0.265,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,930.0,0.123,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,95,3.714,2,0.0,12.578,0.492,0.265,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,30593,4.051,930.0,0.123,0.003,333.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-926.2,-122.630018006567
2020-03-01,96,3.143,2,0.0,12.711,0.416,0.265,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1102.0,0.146,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,100,3.0,2,0.0,13.24,0.397,0.265,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1273.0,0.169,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,100,2.286,2,0.0,13.24,0.303,0.265,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1444.0,0.191,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,105,2.0,2,0.0,13.902,0.265,0.265,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1615.0,0.214,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
