date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-03,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,2,0.0,0,0.0,0.208,0.0,0.0,0.0,0,0.0,2,0.208,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,2,0.0,0,0.0,0.208,0.0,0.0,0.0,0,0.0,4,0.415,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,2,0.0,0,0.0,0.208,0.0,0.0,0.0,0,0.0,4,0.415,0.0,0.0,0.0,0.0,39,0.004,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,4,0.0,0,0.0,0.415,0.0,0.0,0.0,0,0.0,5,0.519,0.0,0.0,0.0,0.0,89,0.009,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,7,0.0,0,0.0,0.727,0.0,0.0,0.0,0,0.0,7,0.727,0.0,0.0,0.0,0.0,132,0.014,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-2845.6,-295.365595886804
2020-03-09,9,1.286,0,0.0,0.934,0.133,0.0,0.0,0,0.0,9,0.934,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,9,1.286,0,0.0,0.934,0.133,0.0,0.0,0,0.0,12,1.246,0.0,0.0,0.0,0.0,301,0.031,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,13,1.571,0,0.0,1.349,0.163,0.0,0.0,0,0.0,13,1.349,0.0,0.0,0.0,0.0,379,0.039,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,13,1.571,0,0.0,1.349,0.163,0.0,0.0,0,0.0,16,1.661,0.0,0.0,0.0,0.0,500,0.052,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,19,2.429,0,0.0,1.972,0.252,0.0,0.0,0,0.0,18,1.868,0.0,0.0,0.0,0.0,628,0.065,84.0,0.009,0.029,34.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,30,3.714,0,0.0,3.114,0.386,0.0,0.0,0,0.0,29,3.01,0.0,0.0,0.0,0.0,784,0.081,99.0,0.01,0.038,26.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,32,3.571,1,0.143,3.322,0.371,0.104,0.015,0,0.0,31,3.218,0.0,0.0,0.0,0.0,1006,0.104,125.0,0.013,0.029,35.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-2976.5,-308.952662411116
2020-03-16,39,4.286,1,0.143,4.048,0.445,0.104,0.015,0,0.0,36,3.737,0.0,0.0,0.0,0.0,1240,0.129,146.0,0.015,0.029,34.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,50,5.857,1,0.143,5.19,0.608,0.104,0.015,0,0.0,47,4.878,0.0,0.0,0.0,0.0,1357,0.141,151.0,0.016,0.039,25.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,58,6.429,1,0.143,6.02,0.667,0.104,0.015,0,0.0,55,5.709,0.0,0.0,0.0,0.0,1573,0.163,171.0,0.018,0.038,26.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,73,8.571,1,0.143,7.577,0.89,0.104,0.015,0,0.0,70,7.266,0.0,0.0,0.0,0.0,2092,0.217,227.0,0.024,0.038,26.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,85,9.429,3,0.429,8.823,0.979,0.311,0.044,0,0.0,74,7.681,0.0,0.0,0.0,0.0,2777,0.288,307.0,0.032,0.031,32.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,103,10.429,4,0.571,10.691,1.082,0.415,0.059,0,0.0,92,9.549,0.0,0.0,0.0,0.0,3247,0.337,352.0,0.037,0.03,33.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,131,14.143,6,0.714,13.597,1.468,0.623,0.074,0,0.0,113,11.729,0.0,0.0,0.0,0.0,4213,0.437,458.0,0.048,0.031,32.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-2810.4,-291.711930939089
2020-03-23,167,18.286,7,0.857,17.334,1.898,0.727,0.089,0,0.0,144,14.947,0.0,0.0,0.0,0.0,5285,0.549,578.0,0.06,0.032,31.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,187,19.571,9,1.143,19.41,2.031,0.934,0.119,0,0.0,158,16.4,0.0,0.0,0.0,0.0,5883,0.611,647.0,0.067,0.03,33.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,226,24.0,10,1.286,23.458,2.491,1.038,0.133,0,0.0,195,20.24,0.0,0.0,0.0,0.0,6587,0.684,716.0,0.074,0.034,29.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,261,26.857,10,1.286,27.091,2.788,1.038,0.133,0,0.0,223,23.147,0.0,0.0,0.0,0.0,7775,0.807,812.0,0.084,0.033,30.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,300,30.714,10,1.0,31.139,3.188,1.038,0.104,0,0.0,256,26.572,0.0,0.0,0.0,0.0,9045,0.939,895.0,0.093,0.034,29.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,343,34.286,11,1.0,35.602,3.559,1.142,0.104,0,0.0,298,30.932,0.0,0.0,0.0,0.0,10073,1.046,975.0,0.101,0.035,28.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,408,39.571,13,1.0,42.349,4.107,1.349,0.104,0,0.0,361,37.471,0.0,0.0,0.0,0.0,11918,1.237,1101.0,0.114,0.036,27.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-2809.7,-291.639272829334
2020-03-30,447,40.0,15,1.143,46.397,4.152,1.557,0.119,0,0.0,398,41.311,0.0,0.0,0.0,0.0,13071,1.357,1112.0,0.115,0.036,27.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,492,43.571,16,1.0,51.068,4.523,1.661,0.104,0,0.0,439,45.567,0.0,0.0,0.0,0.0,13916,1.444,1148.0,0.119,0.038,26.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,525,42.714,20,1.429,54.494,4.434,2.076,0.148,0,0.0,465,48.266,0.0,0.0,0.0,0.0,14978,1.555,1199.0,0.124,0.036,28.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,585,46.286,21,1.571,60.721,4.804,2.18,0.163,0,0.0,522,54.182,0.0,0.0,0.0,0.0,16171,1.679,1199.0,0.124,0.039,25.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,623,46.143,26,2.286,64.666,4.79,2.699,0.237,0,0.0,554,57.504,0.0,0.0,0.0,0.0,17539,1.821,1213.0,0.126,0.038,26.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,678,47.857,32,3.0,70.375,4.967,3.322,0.311,0,0.0,588,61.033,0.0,0.0,0.0,0.0,19194,1.992,1303.0,0.135,0.037,27.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,733,46.429,34,3.0,76.083,4.819,3.529,0.311,0,0.0,633,65.704,0.0,0.0,0.0,0.0,21020,2.182,1300.0,0.135,0.036,28.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-2792.0,-289.802060625512
2020-04-06,744,42.429,38,3.286,77.225,4.404,3.944,0.341,0,0.0,639,66.326,0.0,0.0,0.0,0.0,22052,2.289,1283.0,0.133,0.033,30.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,817,46.429,47,4.429,84.802,4.819,4.878,0.46,0,0.0,699,72.554,0.0,0.0,0.0,0.0,23516,2.441,1371.0,0.142,0.034,29.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,895,52.857,58,5.429,92.899,5.486,6.02,0.563,0,0.0,743,77.121,0.0,0.0,0.0,0.0,25518,2.649,1506.0,0.156,0.035,28.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,980,56.429,66,6.429,101.721,5.857,6.851,0.667,0,0.0,818,84.906,0.0,0.0,0.0,0.0,27596,2.864,1632.0,0.169,0.035,28.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,1190,81.0,77,7.286,123.519,8.408,7.992,0.756,0,0.0,1001,103.901,0.0,0.0,0.0,0.0,29718,3.085,1740.0,0.181,0.047,21.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,1310,90.286,85,7.571,135.974,9.371,8.823,0.786,0,0.0,1110,115.215,0.0,0.0,0.0,0.0,31731,3.294,1791.0,0.186,0.05,19.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,1410,96.714,99,9.286,146.354,10.039,10.276,0.964,0,0.0,1193,123.83,0.0,0.0,0.0,0.0,33302,3.457,1755.0,0.182,0.055,18.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-2694.9,-279.723342829402
2020-04-13,1458,102.0,109,10.143,151.336,10.587,11.314,1.053,0,0.0,1229,127.567,0.0,0.0,0.0,0.0,34589,3.59,1791.0,0.186,0.057,17.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,1512,99.286,122,10.714,156.942,10.306,12.663,1.112,0,0.0,1268,131.615,0.0,0.0,0.0,0.0,35595,3.695,1726.0,0.179,0.058,17.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
