date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-02-09,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,24.8,72.2273998136067
2020-02-27,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,23,0.067,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,1,0.0,0,0.0,2.912,0.0,0.0,0.0,0,0.0,1,2.912,0.0,0.0,0.0,0.0,36,0.105,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,1,0.0,0,0.0,2.912,0.0,0.0,0.0,0,0.0,1,2.912,0.0,0.0,0.0,0.0,68,0.198,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,3,0.0,0,0.0,8.737,0.0,0.0,0.0,0,0.0,1,2.912,0.0,0.0,0.0,0.0,90,0.262,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,25.7,74.8485554520037
2020-03-02,6,0.0,0,0.0,17.474,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,138,0.402,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,11,0.0,0,0.0,32.036,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,183,0.533,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,26,3.714,0,0.0,75.722,10.817,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,264,0.769,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,34,4.857,0,0.0,99.021,14.146,0.0,0.0,0,0.0,1,2.912,0.0,0.0,0.0,0.0,326,0.949,43.0,0.125,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,43,6.0,0,0.0,125.233,17.474,0.0,0.0,0,0.0,1,2.912,0.0,0.0,0.0,0.0,383,1.115,50.0,0.146,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,50,7.0,0,0.0,145.62,20.387,0.0,0.0,0,0.0,1,2.912,0.0,0.0,0.0,0.0,441,1.284,53.0,0.154,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,50,6.714,0,0.0,145.62,19.555,0.0,0.0,0,0.0,1,2.912,0.0,0.0,0.0,0.0,478,1.392,55.0,0.16,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,29.6,86.2068965517241
2020-03-09,58,7.429,0,0.0,168.919,21.635,0.0,0.0,0,0.0,1,2.912,0.0,0.0,0.0,0.0,576,1.678,63.0,0.183,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,69,8.286,0,0.0,200.955,24.131,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,745,2.17,80.0,0.233,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,85,8.429,0,0.0,247.554,24.547,0.0,0.0,0,0.0,1,2.912,0.0,0.0,0.0,0.0,894,2.604,90.0,0.262,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,103,9.857,0,0.0,299.977,28.708,0.0,0.0,0,0.0,2,5.825,0.0,0.0,0.0,0.0,1147,3.341,117.0,0.341,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,134,13.0,0,0.0,390.261,37.861,0.0,0.0,0,0.0,2,5.825,0.0,0.0,0.0,0.0,1504,4.38,160.0,0.466,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,156,15.143,0,0.0,454.334,44.102,0.0,0.0,0,0.0,3,8.737,0.0,0.0,0.0,0.0,1827,5.321,198.0,0.577,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,171,17.286,0,0.0,498.02,50.343,0.0,0.0,0,0.0,3,8.737,0.0,0.0,0.0,0.0,2902,8.452,346.0,1.008,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,25.7,74.8485554520037
2020-03-16,180,17.429,0,0.0,524.231,50.759,0.0,0.0,0,0.0,4,11.65,0.0,0.0,0.0,0.0,4609,13.423,576.0,1.678,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,220,21.571,0,0.0,640.727,62.825,0.0,0.0,0,0.0,5,14.562,0.0,0.0,0.0,0.0,6009,17.501,752.0,2.19,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,250,23.571,0,0.0,728.099,68.649,0.0,0.0,0,0.0,6,17.474,0.0,0.0,0.0,0.0,7837,22.824,992.0,2.889,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,330,32.429,0,0.0,961.09,94.445,0.0,0.0,0,0.0,6,17.474,0.0,0.0,0.0,0.0,9148,26.643,1143.0,3.329,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,409,39.286,0,0.0,1191.17,114.416,0.0,0.0,0,0.0,10,29.124,0.0,0.0,0.0,0.0,9727,28.329,1175.0,3.422,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,473,45.286,1,0.143,1377.563,131.89,2.912,0.416,0,0.0,12,34.949,0.0,0.0,0.0,0.0,10077,29.348,1179.0,3.434,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,568,56.714,1,0.143,1654.24,165.174,2.912,0.416,0,0.0,13,37.861,0.0,0.0,0.0,0.0,10260,29.881,1051.0,3.061,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,22.4,65.237651444548
2020-03-23,588,58.286,1,0.143,1712.488,169.751,2.912,0.416,0,0.0,13,37.861,0.0,0.0,0.0,0.0,10719,31.218,873.0,2.543,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,648,61.143,2,0.286,1887.232,178.072,5.825,0.832,0,0.0,17,49.511,0.0,0.0,0.0,0.0,11686,34.034,811.0,2.362,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,737,69.571,2,0.286,2146.435,202.619,5.825,0.832,0,0.0,18,52.423,0.0,0.0,0.0,0.0,12574,36.62,677.0,1.972,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,802,67.429,2,0.286,2335.741,196.379,5.825,0.832,0,0.0,20,58.248,0.0,0.0,0.0,0.0,13572,39.527,632.0,1.841,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,890,68.714,2,0.286,2592.032,200.123,5.825,0.832,0,0.0,20,58.248,0.0,0.0,0.0,0.0,14594,42.503,695.0,2.024,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,963,70.0,2,0.143,2804.637,203.868,5.825,0.416,0,0.0,26,75.722,0.0,0.0,0.0,0.0,15443,44.976,767.0,2.234,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,1020,64.571,2,0.143,2970.643,188.058,5.825,0.416,0,0.0,30,87.372,0.0,0.0,0.0,0.0,16443,47.889,883.0,2.572,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,16.5,48.0545200372787
2020-03-30,1086,71.143,2,0.143,3162.861,207.196,5.825,0.416,0,0.0,37,107.759,0.0,0.0,0.0,0.0,17863,52.024,1021.0,2.974,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1135,69.571,2,0.0,3305.568,202.619,5.825,0.0,0,0.0,40,116.496,0.0,0.0,0.0,0.0,19475,56.719,1113.0,3.241,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,1220,69.0,2,0.0,3553.122,200.955,5.825,0.0,0,0.0,43,125.233,0.0,0.0,0.0,0.0,20889,60.837,1188.0,3.46,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,1319,73.857,4,0.286,3841.449,215.101,11.65,0.832,0,0.0,44,128.145,0.0,0.0,0.0,0.0,22154,64.521,1226.0,3.571,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,1364,67.714,4,0.286,3972.507,197.211,11.65,0.832,0,0.0,41,119.408,0.0,0.0,0.0,0.0,23599,68.73,1286.0,3.745,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,1417,64.857,4,0.286,4126.864,188.89,11.65,0.832,0,0.0,37,107.759,0.0,0.0,0.0,0.0,25353,73.838,1416.0,4.124,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,1486,66.571,4,0.286,4327.819,193.882,11.65,0.832,0,0.0,36,104.846,0.0,0.0,0.0,0.0,27839,81.078,1628.0,4.741,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,22.4,65.237651444548
2020-04-06,1562,68.0,6,0.571,4549.161,198.043,17.474,1.664,0,0.0,38,110.671,0.0,0.0,0.0,0.0,28951,84.317,1584.0,4.613,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
