date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-02-20,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,29,0.003,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,1,0.0,0,0.0,0.114,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,57,0.006,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,1,0.0,0,0.0,0.114,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,70,0.008,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,1,0.0,0,0.0,0.114,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,126,0.014,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-331.6,-37.7256485261968
2020-02-24,1,0.0,0,0.0,0.114,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,201,0.023,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,1,0.0,0,0.0,0.114,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,309,0.035,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,2,0.286,0,0.0,0.228,0.033,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,417,0.047,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,3,0.429,0,0.0,0.341,0.049,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,588,0.067,80.0,0.009,0.005,186.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,6,0.714,0,0.0,0.683,0.081,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,706,0.08,93.0,0.011,0.008,130.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,6,0.714,0,0.0,0.683,0.081,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,864,0.098,113.0,0.013,0.006,158.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
