date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-11,1,0.0,0,0.0,0.336,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,2,0.0,0,0.0,0.673,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,8,0.0,0,0.0,2.69,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,8,0.0,0,0.0,2.69,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,10,0.0,0,0.0,3.363,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,10,1.429,0,0.0,3.363,0.48,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,12,1.714,0,0.0,4.036,0.577,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,13,1.714,0,0.0,4.372,0.577,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,15,1.857,1,0.143,5.045,0.625,0.336,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,16,1.143,1,0.143,5.381,0.384,0.336,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,16,1.143,1,0.143,5.381,0.384,0.336,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,19,1.286,1,0.143,6.39,0.432,0.336,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,19,1.286,1,0.143,6.39,0.432,0.336,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,21,1.286,1,0.143,7.062,0.432,0.336,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,148,0.05,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,26,1.857,1,0.143,8.744,0.625,0.336,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,26,1.571,1,0.0,8.744,0.528,0.336,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,26,1.429,1,0.0,8.744,0.48,0.336,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,30,2.0,1,0.0,10.089,0.673,0.336,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,253,0.085,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,32,1.857,1,0.0,10.762,0.625,0.336,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,287,0.097,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,36,2.429,1,0.0,12.107,0.817,0.336,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,36,2.143,1,0.0,12.107,0.721,0.336,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,33.0,0.011,0.065,15.4,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,-519.2,-174.611278032139
2020-04-01,44,2.571,3,0.286,14.798,0.865,1.009,0.096,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,36.0,0.012,0.071,14.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,47,3.0,3,0.286,15.806,1.009,1.009,0.096,0,0.0,0,0.0,0.0,0.0,0.0,0.0,473,0.159,39.0,0.013,0.077,13.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,47,3.0,3,0.286,15.806,1.009,1.009,0.096,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,45.0,0.015,0.067,15.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,53,3.286,3,0.286,17.824,1.105,1.009,0.096,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,50.0,0.017,0.066,15.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,58,3.714,3,0.286,19.506,1.249,1.009,0.096,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,55.0,0.018,0.068,14.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,58,3.143,3,0.286,19.506,1.057,1.009,0.096,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,57.0,0.019,0.055,18.1,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,63,3.857,3,0.286,21.187,1.297,1.009,0.096,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,60.0,0.02,0.064,15.6,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,63,2.714,4,0.143,21.187,0.913,1.345,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,63.0,0.021,0.043,23.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,63,2.286,4,0.143,21.187,0.769,1.345,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,66.0,0.022,0.035,28.9,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,63,2.286,4,0.143,21.187,0.769,1.345,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,66.0,0.022,0.035,28.9,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,65,1.714,4,0.143,21.86,0.577,1.345,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,66.0,0.022,0.026,38.5,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,69,1.571,4,0.143,23.205,0.528,1.345,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,66.0,0.022,0.024,42.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,73,2.143,4,0.143,24.551,0.721,1.345,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1194,0.402,66.0,0.022,0.032,30.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,73,1.429,4,0.143,24.551,0.48,1.345,0.048,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,70.0,0.024,0.02,49.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
