date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-13,4,0.0,0,0.0,0.211,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,126,0.007,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,6,0.0,0,0.0,0.316,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,445,0.023,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,9,0.0,0,0.0,0.474,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,652,0.034,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,10,0.0,0,0.0,0.526,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1038,0.055,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,33,0.0,0,0.0,1.737,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1970,0.104,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,35,5.0,0,0.0,1.843,0.263,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2234,0.118,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,44,6.286,0,0.0,2.316,0.331,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3284,0.173,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,49,6.429,0,0.0,2.58,0.338,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4100,0.216,568.0,0.03,0.011,88.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,53,6.714,0,0.0,2.79,0.353,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5275,0.278,690.0,0.036,0.01,102.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,61,7.429,0,0.0,3.211,0.391,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6508,0.343,837.0,0.044,0.009,112.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,62,7.429,0,0.0,3.264,0.391,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,8262,0.435,1032.0,0.054,0.007,138.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,72,5.571,0,0.0,3.79,0.293,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,9884,0.52,1131.0,0.06,0.005,203.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,81,6.571,0,0.0,4.264,0.346,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,11349,0.597,1302.0,0.069,0.005,198.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,111,9.571,0,0.0,5.844,0.504,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,13460,0.709,1454.0,0.077,0.007,151.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,150,14.429,1,0.143,7.897,0.76,0.053,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,15147,0.797,1578.0,0.083,0.009,109.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,228,25.0,1,0.143,12.003,1.316,0.053,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16622,0.875,1621.0,0.085,0.015,64.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,284,31.857,1,0.143,14.951,1.677,0.053,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,19318,1.017,1830.0,0.096,0.017,57.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,302,34.286,1,0.143,15.899,1.805,0.053,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,21013,1.106,1822.0,0.096,0.019,53.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,343,38.714,2,0.286,18.057,2.038,0.105,0.015,0,0.0,0,0.0,0.0,0.0,0.0,0.0,30905,1.627,3003.0,0.158,0.013,77.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-2672.9,-140.716289027857
2020-04-01,380,42.714,3,0.429,20.005,2.249,0.158,0.023,0,0.0,0,0.0,0.0,0.0,0.0,0.0,32819,1.728,3067.0,0.161,0.014,71.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,435,46.286,3,0.429,22.901,2.437,0.158,0.023,0,0.0,0,0.0,0.0,0.0,0.0,0.0,35191,1.853,3104.0,0.163,0.015,67.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
