date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-06,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,31,0.001,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,1,0.0,0,0.0,0.018,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,1,0.0,0,0.0,0.018,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,3,0.0,0,0.0,0.055,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,3,0.0,0,0.0,0.055,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,3,0.0,0,0.0,0.055,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,111,0.002,7.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,3,0.429,0,0.0,0.055,0.008,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,132,0.002,9.0,0.0,0.048,21.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,7,1.0,0,0.0,0.127,0.018,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,173,0.003,14.0,0.0,0.071,14.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,7,0.857,0,0.0,0.127,0.016,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,0.0,0.039,25.7,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,7,0.857,0,0.0,0.127,0.016,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,29.0,0.001,0.03,33.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,15,1.714,0,0.0,0.273,0.031,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,37.0,0.001,0.046,21.6,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,16,1.857,0,0.0,0.291,0.034,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,45.0,0.001,0.041,24.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,25,3.143,0,0.0,0.455,0.057,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,52.0,0.001,0.06,16.5,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,28,3.571,0,0.0,0.509,0.065,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,58.0,0.001,0.062,16.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,31,3.429,1,0.143,0.564,0.062,0.018,0.003,0,0.0,0,0.0,0.0,0.0,0.0,0.0,600,0.011,61.0,0.001,0.056,17.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,31,3.429,1,0.143,0.564,0.062,0.018,0.003,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,69.0,0.001,0.05,20.1,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,38,4.429,1,0.143,0.691,0.081,0.018,0.003,0,0.0,0,0.0,0.0,0.0,0.0,0.0,833,0.015,77.0,0.001,0.058,17.4,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,42,3.857,1,0.143,0.764,0.07,0.018,0.003,0,0.0,0,0.0,0.0,0.0,0.0,0.0,902,0.016,78.0,0.001,0.049,20.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,50,4.857,1,0.143,0.909,0.088,0.018,0.003,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1074,0.02,94.0,0.002,0.052,19.4,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,59,4.857,1,0.143,1.073,0.088,0.018,0.003,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1308,0.024,119.0,0.002,0.041,24.5,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,81,7.571,1,0.143,1.473,0.138,0.018,0.003,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1688,0.031,164.0,0.003,0.046,21.7,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,110,11.286,3,0.286,2.001,0.205,0.055,0.005,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2350,0.043,250.0,0.005,0.045,22.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,122,13.0,4,0.429,2.219,0.236,0.073,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2712,0.049,285.0,0.005,0.046,21.9,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,126,12.571,4,0.429,2.292,0.229,0.073,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3084,0.056,322.0,0.006,0.039,25.6,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,142,14.286,4,0.429,2.582,0.26,0.073,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3614,0.066,387.0,0.007,0.037,27.1,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,158,15.429,6,0.714,2.873,0.281,0.109,0.013,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4277,0.078,458.0,0.008,0.034,29.7,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,172,16.143,6,0.714,3.128,0.294,0.109,0.013,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4973,0.09,524.0,0.01,0.031,32.5,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,179,14.0,6,0.714,3.255,0.255,0.109,0.013,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5278,0.096,513.0,0.009,0.027,36.6,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,184,10.571,7,0.571,3.346,0.192,0.127,0.01,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5586,0.102,462.0,0.008,0.023,43.7,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,189,9.571,7,0.429,3.437,0.174,0.127,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6192,0.113,497.0,0.009,0.019,51.9,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,191,9.286,7,0.429,3.474,0.169,0.127,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6683,0.122,514.0,0.009,0.018,55.4,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,197,7.857,8,0.571,3.583,0.143,0.145,0.01,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7449,0.135,548.0,0.01,0.014,69.7,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,208,7.143,9,0.429,3.783,0.13,0.164,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,8123,0.148,549.0,0.01,0.013,76.9,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,216,6.286,9,0.429,3.928,0.114,0.164,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,8817,0.16,549.0,0.01,0.011,87.3,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,225,6.571,10,0.571,4.092,0.12,0.182,0.01,0,0.0,0,0.0,0.0,0.0,0.0,0.0,9620,0.175,620.0,0.011,0.011,94.4,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,234,7.143,11,0.571,4.256,0.13,0.2,0.01,0,0.0,0,0.0,0.0,0.0,0.0,0.0,10324,0.188,677.0,0.012,0.011,94.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,246,8.143,11,0.571,4.474,0.148,0.2,0.01,0,0.0,0,0.0,0.0,0.0,0.0,0.0,10774,0.196,655.0,0.012,0.012,80.4,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,262,10.143,12,0.714,4.765,0.184,0.218,0.013,0,0.0,0,0.0,0.0,0.0,0.0,0.0,11889,0.216,744.0,0.014,0.014,73.4,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,270,10.429,14,0.857,4.91,0.19,0.255,0.016,0,0.0,0,0.0,0.0,0.0,0.0,0.0,13239,0.241,827.0,0.015,0.013,79.3,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,281,10.429,14,0.714,5.11,0.19,0.255,0.013,0,0.0,0,0.0,0.0,0.0,0.0,0.0,13872,0.252,821.0,0.015,0.013,78.7,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,296,11.429,14,0.714,5.383,0.208,0.255,0.013,0,0.0,0,0.0,0.0,0.0,0.0,0.0,14704,0.267,841.0,0.015,0.014,73.6,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,303,11.143,14,0.571,5.511,0.203,0.255,0.01,0,0.0,0,0.0,0.0,0.0,0.0,0.0,15411,0.28,827.0,0.015,0.013,74.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,320,12.286,14,0.429,5.82,0.223,0.255,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16079,0.292,822.0,0.015,0.015,66.9,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,336,12.857,14,0.429,6.111,0.234,0.255,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16738,0.304,852.0,0.015,0.015,66.3,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,343,11.571,14,0.286,6.238,0.21,0.255,0.005,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,777.0,0.014,0.015,67.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,355,12.143,14,0.0,6.456,0.221,0.255,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,668.0,0.012,0.018,55.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,363,11.714,14,0.0,6.602,0.213,0.255,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,662.0,0.012,0.018,56.5,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,374,11.143,14,0.0,6.802,0.203,0.255,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,627.0,0.011,0.018,56.3,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,384,11.571,15,0.143,6.984,0.21,0.273,0.003,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,610.0,0.011,0.019,52.7,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,396,10.857,17,0.429,7.202,0.197,0.309,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,20268,0.369,598.0,0.011,0.018,55.1,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,411,10.714,21,1.0,7.475,0.195,0.382,0.018,0,0.0,0,0.0,0.0,0.0,0.0,0.0,21702,0.395,709.0,0.013,0.015,66.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,435,13.143,22,1.143,7.911,0.239,0.4,0.021,0,0.0,0,0.0,0.0,0.0,0.0,0.0,22897,0.416,796.0,0.014,0.017,60.6,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,465,15.714,24,1.429,8.457,0.286,0.436,0.026,0,0.0,0,0.0,0.0,0.0,0.0,0.0,23780,0.432,838.0,0.015,0.019,53.3,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,490,18.143,24,1.429,8.911,0.33,0.436,0.026,0,0.0,0,0.0,0.0,0.0,0.0,0.0,24792,0.451,898.0,0.016,0.02,49.5,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,535,23.0,24,1.429,9.73,0.418,0.436,0.026,0,0.0,0,0.0,0.0,0.0,0.0,0.0,25869,0.47,968.0,0.018,0.024,42.1,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,582,28.286,26,1.571,10.585,0.514,0.473,0.029,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1054.0,0.019,0.027,37.3,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,607,30.143,29,1.714,11.039,0.548,0.527,0.031,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1139.0,0.021,0.026,37.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,621,30.0,29,1.143,11.294,0.546,0.527,0.021,0,0.0,0,0.0,0.0,0.0,0.0,0.0,29430,0.535,1104.0,0.02,0.027,36.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,649,30.571,30,1.143,11.803,0.556,0.546,0.021,0,0.0,0,0.0,0.0,0.0,0.0,0.0,31041,0.565,1163.0,0.021,0.026,38.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,672,29.571,32,1.143,12.221,0.538,0.582,0.021,0,0.0,0,0.0,0.0,0.0,0.0,0.0,32097,0.584,1188.0,0.022,0.025,40.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,700,30.0,33,1.286,12.731,0.546,0.6,0.023,0,0.0,0,0.0,0.0,0.0,0.0,0.0,32938,0.599,1164.0,0.021,0.026,38.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,715,25.714,36,1.714,13.003,0.468,0.655,0.031,0,0.0,0,0.0,0.0,0.0,0.0,0.0,33916,0.617,1150.0,0.021,0.022,44.7,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,737,22.143,40,2.0,13.403,0.403,0.727,0.036,0,0.0,0,0.0,0.0,0.0,0.0,0.0,35432,0.644,1197.0,0.022,0.018,54.1,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,758,21.571,42,1.857,13.785,0.392,0.764,0.034,0,0.0,0,0.0,0.0,0.0,0.0,0.0,36918,0.671,1239.0,0.023,0.017,57.4,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,781,22.857,45,2.286,14.204,0.416,0.818,0.042,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39018,0.71,1370.0,0.025,0.017,59.9,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,830,25.857,50,2.857,15.095,0.47,0.909,0.052,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1475.0,0.027,0.018,57.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,887,30.714,50,2.571,16.131,0.559,0.909,0.047,0,0.0,0,0.0,0.0,0.0,0.0,0.0,43712,0.795,1659.0,0.03,0.019,54.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,912,30.286,50,2.429,16.586,0.551,0.909,0.044,0,0.0,0,0.0,0.0,0.0,0.0,0.0,44851,0.816,1702.0,0.031,0.018,56.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,963,35.429,50,2.0,17.514,0.644,0.909,0.036,0,0.0,0,0.0,0.0,0.0,0.0,0.0,46784,0.851,1838.0,0.033,0.019,51.9,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,1029,41.714,50,1.429,18.714,0.759,0.909,0.026,0,0.0,0,0.0,0.0,0.0,0.0,0.0,49405,0.899,1996.0,0.036,0.021,47.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21,1109,50.143,50,1.143,20.169,0.912,0.909,0.021,0,0.0,0,0.0,0.0,0.0,0.0,0.0,52507,0.955,2227.0,0.041,0.023,44.4,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,1161,54.286,50,0.714,21.115,0.987,0.909,0.013,0,0.0,0,0.0,0.0,0.0,0.0,0.0,55074,1.002,2294.0,0.042,0.024,42.3,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-23,1192,51.714,50,0.0,21.678,0.941,0.909,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2257.0,0.041,0.023,43.6,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,1214,46.714,51,0.143,22.078,0.85,0.928,0.003,0,0.0,0,0.0,0.0,0.0,0.0,0.0,59260,1.078,2221.0,0.04,0.021,47.5,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,1286,53.429,52,0.286,23.388,0.972,0.946,0.005,0,0.0,0,0.0,0.0,0.0,0.0,0.0,61971,1.127,2446.0,0.044,0.022,45.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-26,1348,55.0,52,0.286,24.515,1.0,0.946,0.005,0,0.0,0,0.0,0.0,0.0,0.0,0.0,64264,1.169,2497.0,0.045,0.022,45.4,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,1471,63.143,55,0.714,26.752,1.148,1.0,0.013,0,0.0,0,0.0,0.0,0.0,0.0,0.0,67341,1.225,2562.0,0.047,0.025,40.6,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-28,1618,72.714,58,1.143,29.426,1.322,1.055,0.021,0,0.0,0,0.0,0.0,0.0,0.0,0.0,70172,1.276,2524.0,0.046,0.029,34.7,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-29,1745,83.429,62,1.714,31.736,1.517,1.128,0.031,0,0.0,0,0.0,0.0,0.0,0.0,0.0,74003,1.346,2704.0,0.049,0.031,32.4,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-30,1888,99.429,63,1.857,34.336,1.808,1.146,0.034,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2729.0,0.05,0.036,27.4,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,1962,106.857,64,1.857,35.682,1.943,1.164,0.034,0,0.0,0,0.0,0.0,0.0,0.0,0.0,78536,1.428,2754.0,0.05,0.039,25.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,2021,105.0,69,2.429,36.755,1.91,1.255,0.044,0,0.0,0,0.0,0.0,0.0,0.0,0.0,80054,1.456,2583.0,0.047,0.041,24.6,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
