date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-01-21,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,1,0.0,0,0.0,0.019,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,1,0.0,0,0.0,0.019,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,2,0.0,0,0.0,0.039,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,2,0.0,0,0.0,0.039,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,3,0.0,0,0.0,0.058,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,48,0.001,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,43.4,0.845918416353404
2020-01-27,4,0.0,0,0.0,0.078,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,57,0.001,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,4,0.429,0,0.0,0.078,0.008,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,187,0.004,25.0,0.0,0.017,58.3,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,4,0.429,0,0.0,0.078,0.008,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,0.001,0.015,65.3,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,4,0.429,0,0.0,0.078,0.008,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,244,0.005,32.0,0.001,0.013,74.6,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
