date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-01-06,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-162.8,-87.2017971711908
2020-02-02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-201.4,-107.877407556989
2020-02-09,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-248.4,-133.052373570785
2020-02-15,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-376.8,-201.828238170176
2020-02-29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,116,0.062,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,126,0.067,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-476.0,-254.963485586528
2020-03-02,1,0.0,0,0.0,0.536,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,163,0.087,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,1,0.0,0,0.0,0.536,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,204,0.109,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,1,0.0,0,0.0,0.536,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,240,0.129,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,1,0.0,0,0.0,0.536,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,275,0.147,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,1,0.0,0,0.0,0.536,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,307,0.164,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,1,0.143,0,0.0,0.536,0.077,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,321,0.172,29.0,0.016,0.005,202.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,2,0.286,0,0.0,1.071,0.153,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2.936,1.573,343,0.184,31.0,0.017,0.009,108.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-582.4,-311.955323541164
2020-03-09,6,0.714,0,0.0,3.214,0.383,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,391,0.209,33.0,0.018,0.022,46.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,8,1.0,0,0.0,4.285,0.536,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,450,0.241,35.0,0.019,0.029,35.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,10,1.286,0,0.0,5.356,0.689,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,497,0.266,37.0,0.02,0.035,28.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,10,1.286,0,0.0,5.356,0.689,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,576,0.309,43.0,0.023,0.03,33.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,17,2.286,0,0.0,9.106,1.224,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,703,0.377,57.0,0.031,0.04,24.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,26,3.571,0,0.0,13.927,1.913,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1019,0.546,100.0,0.054,0.036,28.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,30,4.0,0,0.0,16.069,2.143,0.0,0.0,0,0.0,0,0.0,0.0,0.0,5.872,3.145,1353,0.725,144.0,0.077,0.028,36.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-620.0,-332.095296352201
2020-03-16,34,4.0,0,0.0,18.212,2.143,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1704,0.913,188.0,0.101,0.021,47.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,49,5.857,0,0.0,26.246,3.137,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2199,1.178,250.0,0.134,0.023,42.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
