date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-08,4,0.0,0,0.0,7.358,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,4,0.0,0,0.0,7.358,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,6,0.0,0,0.0,11.037,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,8,0.0,0,0.0,14.716,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,8,0.0,0,0.0,14.716,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,9,1.286,0,0.0,16.556,2.365,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,10,1.429,0,0.0,18.395,2.628,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,13,1.286,0,0.0,23.914,2.365,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,13,1.286,0,0.0,23.914,2.365,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,221,0.407,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,13,1.0,0,0.0,23.914,1.84,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,254,0.467,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,13,0.714,0,0.0,23.914,1.314,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,463,0.852,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,13,0.714,0,0.0,23.914,1.314,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,519,0.955,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,13,0.571,0,0.0,23.914,1.051,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,563,1.036,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,13,0.429,0,0.0,23.914,0.788,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,593,1.091,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,13,0.0,0,0.0,23.914,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,643,1.183,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,13,0.0,0,0.0,23.914,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,673,1.238,65.0,0.12,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,13,0.0,0,0.0,23.914,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,67.0,0.123,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,13,0.0,0,0.0,23.914,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,776,1.427,45.0,0.083,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,13,0.0,0,0.0,23.914,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,799,1.47,40.0,0.074,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,16,0.429,0,0.0,29.432,0.788,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,823,1.514,37.0,0.068,0.012,86.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,16,0.429,0,0.0,29.432,0.788,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,880,1.619,41.0,0.075,0.01,95.6,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,17,0.571,0,0.0,31.272,1.051,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,916,1.685,39.0,0.072,0.015,68.3,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,17,0.571,0,0.0,31.272,1.051,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,50.0,0.092,0.011,87.6,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,18,0.714,0,0.0,33.111,1.314,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1132,2.082,58.0,0.107,0.012,81.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,19,0.857,0,0.0,34.951,1.577,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1199,2.206,60.0,0.11,0.014,70.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,19,0.857,0,0.0,34.951,1.577,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1291,2.375,70.0,0.129,0.012,81.7,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,19,0.429,0,0.0,34.951,0.788,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1383,2.544,80.0,0.147,0.005,186.5,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,19,0.429,0,0.0,34.951,0.788,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1486,2.734,87.0,0.16,0.005,202.8,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,19,0.286,0,0.0,34.951,0.526,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1508,2.774,85.0,0.156,0.003,297.2,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,19,0.286,0,0.0,34.951,0.526,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1793,3.298,110.0,0.202,0.003,384.6,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,19,0.143,0,0.0,34.951,0.263,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,125.0,0.23,0.001,874.1,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,19,0.0,0,0.0,34.951,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.0,0.269,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,19,0.0,0,0.0,34.951,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2434,4.477,163.0,0.3,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,19,0.0,0,0.0,34.951,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,160.0,0.294,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
