date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-22,1,0.0,0,0.0,0.031,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,1,0.0,0,0.0,0.031,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,3,0.0,0,0.0,0.093,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,5,0.0,0,0.0,0.155,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,7,0.0,0,0.0,0.218,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,7,1.0,0,0.0,0.218,0.031,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,8,1.143,0,0.0,0.249,0.036,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,205,0.006,0.0,0.0,0.0,0.0,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,8,1.0,0,0.0,0.249,0.031,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,8,1.0,0,0.0,0.249,0.031,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,233,0.007,0.0,0.0,0.0,0.0,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,8,0.714,0,0.0,0.249,0.022,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,269,0.008,0.0,0.0,0.0,0.0,units unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
