date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,18,0.001,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,35,0.002,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,86,0.004,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,3,0.0,0,0.0,0.153,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,88,0.004,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,3,0.0,0,0.0,0.153,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,93,0.005,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,4,0.0,0,0.0,0.204,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,122,0.006,0.0,0.0,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,4,0.0,0,0.0,0.204,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,123,0.006,15.0,0.001,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,5,0.0,0,0.0,0.254,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,143,0.007,15.0,0.001,0.0,0.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,8,1.143,1,0.143,0.407,0.058,0.051,0.007,0,0.0,0,0.0,0.0,0.0,0.0,0.0,145,0.007,12.0,0.001,0.095,10.5,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,8,1.143,1,0.143,0.407,0.058,0.051,0.007,0,0.0,0,0.0,0.0,0.0,0.0,0.0,224,0.011,20.0,0.001,0.057,17.5,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,8,0.714,1,0.143,0.407,0.036,0.051,0.007,0,0.0,0,0.0,0.0,0.0,0.0,0.0,231,0.012,20.0,0.001,0.036,28.0,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,9,0.857,1,0.143,0.458,0.044,0.051,0.007,0,0.0,0,0.0,0.0,0.0,0.0,0.0,287,0.015,28.0,0.001,0.031,32.7,samples tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
