date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-01-24,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,4,0.0,0,0.0,0.122,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,4,0.0,0,0.0,0.122,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,21,0.001,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,4,0.0,0,0.0,0.122,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,45,0.001,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,4,0.0,0,0.0,0.122,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,98,0.003,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,7,0.0,0,0.0,0.214,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,169,0.005,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,8,1.143,0,0.0,0.244,0.035,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,211,0.006,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,8,1.143,0,0.0,0.244,0.035,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,258,0.008,37.0,0.001,0.031,32.4,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,-100.5,-3.06624975839935
2020-02-01,8,0.571,0,0.0,0.244,0.017,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,286,0.009,40.0,0.001,0.014,70.1,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,8,0.571,0,0.0,0.244,0.017,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,352,0.011,47.0,0.001,0.012,82.3,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
