date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-02-28,1,0.0,0,0.0,0.206,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,1,0.0,0,0.0,0.206,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,1,0.0,0,0.0,0.206,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,225,0.046,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-47.2,-9.71065139131827
2020-03-02,1,0.0,0,0.0,0.206,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,254,0.052,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,1,0.0,0,0.0,0.206,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,280,0.058,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,3,0.429,0,0.0,0.617,0.088,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,305,0.063,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,3,0.429,0,0.0,0.617,0.088,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,332,0.068,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,4,0.429,0,0.0,0.823,0.088,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,398,0.082,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,5,0.571,0,0.0,1.029,0.118,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,442,0.091,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,5,0.571,0,0.0,1.029,0.118,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,470,0.097,35.0,0.007,0.016,61.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-53.0,-10.9039094012684
2020-03-09,5,0.571,0,0.0,1.029,0.118,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,549,0.113,42.0,0.009,0.014,73.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,5,0.571,0,0.0,1.029,0.118,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,637,0.131,51.0,0.01,0.011,89.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,5,0.286,0,0.0,1.029,0.059,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,720,0.148,59.0,0.012,0.005,206.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,5,0.286,0,0.0,1.029,0.059,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,817,0.168,69.0,0.014,0.004,241.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,5,0.143,0,0.0,1.029,0.029,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,937,0.193,77.0,0.016,0.002,538.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,6,0.143,0,0.0,1.234,0.029,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1065,0.219,89.0,0.018,0.002,622.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,8,0.429,0,0.0,1.646,0.088,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1153,0.237,98.0,0.02,0.004,228.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-79.2,-16.2941438600086
