date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-09,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,107,0.024,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,1,0.0,0,0.0,0.228,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,138,0.031,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,8,0.0,1,0.0,1.826,0.0,0.228,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,180,0.041,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,11,0.0,1,0.0,2.511,0.0,0.228,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,374,0.085,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,27,0.0,1,0.0,6.162,0.0,0.228,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,613,0.14,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,36,0.0,1,0.0,8.216,0.0,0.228,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,814,0.186,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,43,6.143,1,0.143,9.814,1.402,0.228,0.033,0,0.0,0,0.0,0.0,0.0,0.0,0.0,921,0.21,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,55,7.857,1,0.143,12.553,1.793,0.228,0.033,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1004,0.229,128.0,0.029,0.061,16.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,69,9.714,1,0.143,15.748,2.217,0.228,0.033,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1245,0.284,158.0,0.036,0.061,16.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,86,11.143,1,0.0,19.628,2.543,0.228,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1455,0.332,182.0,0.042,0.061,16.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,109,14.0,1,0.0,24.877,3.195,0.228,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1768,0.404,199.0,0.045,0.07,14.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,137,15.714,1,0.0,31.267,3.586,0.228,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2169,0.495,222.0,0.051,0.071,14.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,200,23.429,1,0.0,45.646,5.347,0.228,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2472,0.564,237.0,0.054,0.099,10.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,313,38.571,3,0.286,71.435,8.803,0.685,0.065,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3099,0.707,311.0,0.071,0.124,8.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,345,41.429,6,0.714,78.739,9.455,1.369,0.163,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3385,0.773,340.0,0.078,0.122,8.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,345,39.429,6,0.714,78.739,8.999,1.369,0.163,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3690,0.842,349.0,0.08,0.113,8.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,443,51.0,8,1.0,101.105,11.64,1.826,0.228,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4248,0.97,399.0,0.091,0.128,7.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,558,64.143,8,1.0,127.351,14.639,1.826,0.228,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4856,1.108,441.0,0.101,0.145,6.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,674,76.714,9,1.143,153.826,17.508,2.054,0.261,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5222,1.192,436.0,0.1,0.176,5.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,786,83.714,14,1.857,179.387,19.106,3.195,0.424,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5762,1.315,470.0,0.107,0.178,5.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,901,84.0,17,2.0,205.633,19.171,3.88,0.456,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6160,1.406,437.0,0.1,0.192,5.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
