date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-01-06,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.975,0.194,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,8.888,0.874,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,5.925,0.583,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-876.2,-86.1729578400623
2020-02-02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,9.876,0.971,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-923.6,-90.8346768558338
2020-02-09,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,9.876,0.971,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-1132.2,-111.350174465326
2020-02-15,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,15.801,1.554,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,19.751,1.943,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-1736.8,-170.811679042023
2020-02-26,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,28.64,2.817,25,0.002,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-1942.6,-191.051800844676
2020-03-02,2,0.0,0,0.0,0.197,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,70,0.007,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,2,0.0,0,0.0,0.197,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,131,0.013,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,5,0.0,0,0.0,0.492,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,171,0.017,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,8,0.0,0,0.0,0.787,0.0,0.0,0.0,0,0.0,9,0.885,0.0,0.0,0.0,0.0,251,0.025,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,13,0.0,0,0.0,1.279,0.0,0.0,0.0,0,0.0,13,1.279,0.0,0.0,0.0,0.0,332,0.033,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,20,2.857,0,0.0,1.967,0.281,0.0,0.0,0,0.0,21,2.065,0.0,0.0,0.0,0.0,411,0.04,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,30,4.286,0,0.0,2.95,0.421,0.0,0.0,0,0.0,30,2.95,0.0,0.0,84.931,8.353,495,0.049,67.0,0.007,0.064,15.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-2150.6,-211.508289352703
2020-03-09,30,4.0,0,0.0,2.95,0.393,0.0,0.0,0,0.0,38,3.737,0.0,0.0,0.0,0.0,670,0.066,86.0,0.008,0.047,21.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,41,5.571,0,0.0,4.032,0.548,0.0,0.0,0,0.0,40,3.934,0.0,0.0,0.0,0.0,976,0.096,121.0,0.012,0.046,21.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,59,7.714,0,0.0,5.803,0.759,0.0,0.0,0,0.0,57,5.606,0.0,0.0,0.0,0.0,1556,0.153,198.0,0.019,0.039,25.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,59,7.286,0,0.0,5.803,0.717,0.0,0.0,0,0.0,69,6.786,0.0,0.0,0.0,0.0,2494,0.245,320.0,0.031,0.023,43.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,112,14.143,0,0.0,11.015,1.391,0.0,0.0,0,0.0,107,10.523,0.0,0.0,0.0,0.0,4045,0.398,530.0,0.052,0.027,37.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,169,21.286,0,0.0,16.621,2.093,0.0,0.0,10,0.983,114,11.212,0.0,0.0,0.0,0.0,5298,0.521,698.0,0.069,0.03,32.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,245,30.714,0,0.0,24.095,3.021,0.0,0.0,9,0.885,139,13.67,0.0,0.0,177.762,17.483,6249,0.615,822.0,0.081,0.037,26.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-2115.6,-208.066091767217
2020-03-16,331,43.0,0,0.0,32.553,4.229,0.0,0.0,18,1.77,139,13.67,0.0,0.0,0.0,0.0,7932,0.78,1037.0,0.102,0.041,24.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,448,58.143,1,0.143,44.06,5.718,0.098,0.014,17,1.672,206,20.26,0.0,0.0,0.0,0.0,10236,1.007,1323.0,0.13,0.044,22.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,448,55.571,2,0.286,44.06,5.465,0.197,0.028,20,1.967,89,8.753,0.0,0.0,0.0,0.0,12701,1.249,1592.0,0.157,0.035,28.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,785,103.714,3,0.429,77.204,10.2,0.295,0.042,20,1.967,89,8.753,0.0,0.0,0.0,0.0,15199,1.495,1815.0,0.179,0.057,17.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,1020,129.714,6,0.857,100.315,12.757,0.59,0.084,26,2.557,126,12.392,0.0,0.0,0.0,0.0,18414,1.811,2053.0,0.202,0.063,15.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,1280,158.714,12,1.714,125.886,15.609,1.18,0.169,35,3.442,156,15.342,0.0,0.0,0.0,0.0,20930,2.058,2233.0,0.22,0.071,14.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,1600,193.571,14,2.0,157.358,19.037,1.377,0.197,41,4.032,169,16.621,0.0,0.0,438.481,43.124,23039,2.266,2399.0,0.236,0.081,12.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-1939.6,-190.756755337349
2020-03-23,2060,247.0,23,3.286,202.598,24.292,2.262,0.323,47,4.622,201,19.768,0.0,0.0,0.0,0.0,27220,2.677,2755.0,0.271,0.09,11.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,2362,273.429,33,4.571,232.299,26.891,3.246,0.45,48,4.721,203,19.965,0.0,0.0,0.0,0.0,32247,3.171,3144.0,0.309,0.087,11.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,2995,363.857,43,5.857,294.554,35.785,4.229,0.576,61,5.999,276,27.144,0.0,0.0,0.0,0.0,37566,3.695,3552.0,0.349,0.102,9.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,3544,394.143,60,8.143,348.547,38.763,5.901,0.801,61,5.999,191,18.785,0.0,0.0,0.0,0.0,44260,4.353,4152.0,0.408,0.095,10.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,4268,464.0,76,10.0,419.751,45.634,7.474,0.983,71,6.983,354,34.815,0.0,0.0,0.0,0.0,52173,5.131,4823.0,0.474,0.096,10.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,5170,555.714,100,12.571,508.462,54.654,9.835,1.236,89,8.753,418,41.11,0.0,0.0,0.0,0.0,59066,5.809,5448.0,0.536,0.102,9.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,5962,623.143,119,15.0,586.354,61.285,11.703,1.475,138,13.572,486,47.797,0.0,0.0,703.149,69.154,64098,6.304,5866.0,0.577,0.106,9.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-1607.8,-158.124722226948
2020-03-30,6408,621.143,140,16.714,630.217,61.088,13.769,1.644,164,16.129,571,56.157,0.0,0.0,0.0,0.0,72084,7.089,6409.0,0.63,0.097,10.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,7443,725.857,160,18.143,732.008,71.387,15.736,1.784,188,18.49,627,61.665,0.0,0.0,0.0,0.0,80046,7.872,6828.0,0.672,0.106,9.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,8251,750.857,187,20.571,811.473,73.846,18.391,2.023,230,22.62,726,71.401,0.0,0.0,0.0,0.0,88696,8.723,7304.0,0.718,0.103,9.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,9034,784.286,209,21.286,888.48,77.133,20.555,2.093,240,23.604,1042,102.479,0.0,0.0,0.0,0.0,97995,9.638,7676.0,0.755,0.102,9.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,9886,802.571,246,24.286,972.273,78.932,24.194,2.388,245,24.095,1058,104.053,0.0,0.0,0.0,0.0,107474,10.57,7900.0,0.777,0.102,9.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,10524,764.857,266,23.714,1035.02,75.223,26.161,2.332,251,24.685,1075,105.725,0.0,0.0,0.0,0.0,116632,11.471,8224.0,0.809,0.093,10.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,11278,759.429,295,25.143,1109.174,74.689,29.013,2.473,267,26.259,1084,106.61,0.0,0.0,685.373,67.405,123348,12.131,8464.0,0.832,0.09,11.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-1190.6,-117.093727007964
2020-04-06,11730,760.286,311,24.429,1153.628,74.773,30.586,2.403,270,26.554,1099,108.085,0.0,0.0,0.0,0.0,132717,13.053,8662.0,0.852,0.088,11.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,12442,714.143,345,26.429,1223.652,70.235,33.93,2.599,271,26.652,1180,116.051,0.0,0.0,0.0,0.0,143340,14.097,9042.0,0.889,0.079,12.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,13141,698.571,380,27.571,1292.398,68.703,37.372,2.712,245,24.095,1211,119.1,0.0,0.0,0.0,0.0,155031,15.247,9476.0,0.932,0.074,13.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,13956,703.143,409,28.571,1372.552,69.153,40.225,2.81,241,23.702,1173,115.363,0.0,0.0,0.0,0.0,167240,16.448,9892.0,0.973,0.071,14.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,15472,798.0,435,27.0,1521.648,78.482,42.782,2.655,226,22.227,1179,115.953,0.0,0.0,0.0,0.0,177456,17.453,9997.0,0.983,0.08,12.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,15987,780.429,470,29.143,1572.298,76.754,46.224,2.866,233,22.915,1175,115.559,0.0,0.0,0.0,0.0,186577,18.35,9992.0,0.983,0.078,12.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
