date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-02,1,0.0,0,0.0,0.028,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,160,0.005,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,1,0.0,0,0.0,0.028,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,400,0.011,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,1,0.0,0,0.0,0.028,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,698,0.02,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,5,0.0,0,0.0,0.141,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1185,0.034,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,5,0.0,0,0.0,0.141,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2209,0.063,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,5,0.714,0,0.0,0.141,0.02,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4191,0.119,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,11,1.571,0,0.0,0.311,0.044,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5979,0.169,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,15,2.0,0,0.0,0.424,0.057,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,8180,0.231,1146.0,0.032,0.002,573.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,20,2.714,0,0.0,0.566,0.077,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,11835,0.335,1634.0,0.046,0.002,602.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,21,2.857,0,0.0,0.594,0.081,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,14834,0.42,2019.0,0.057,0.001,706.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
