date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-06,1,0.0,0,0.0,0.183,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,378,0.069,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,1,0.0,0,0.0,0.183,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,444,0.081,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,3,0.0,0,0.0,0.549,0.0,0.0,0.0,0,0.0,0,0.0,1.001,0.183,7.004,1.283,520,0.095,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-595.8,-109.106371570374
2020-03-09,3,0.0,0,0.0,0.549,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,589,0.108,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,7,0.0,0,0.0,1.282,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,700,0.128,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,10,1.429,0,0.0,1.831,0.262,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,797,0.146,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,16,2.286,0,0.0,2.93,0.419,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,892,0.163,0.0,0.0,0.024,41.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,32,4.429,0,0.0,5.86,0.811,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,950,0.174,82.0,0.015,0.054,18.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,44,6.143,0,0.0,8.058,1.125,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1147,0.21,100.0,0.018,0.058,17.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,54,7.286,0,0.0,9.889,1.334,0.0,0.0,0,0.0,0,0.0,0.0,0.0,24.013,4.397,1436,0.263,131.0,0.024,0.061,16.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,-580.5,-106.304546318566
2020-03-16,63,8.571,0,0.0,11.537,1.57,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1595,0.292,144.0,0.026,0.065,15.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,72,9.286,0,0.0,13.185,1.7,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1913,0.35,173.0,0.032,0.073,13.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,105,13.571,0,0.0,19.228,2.485,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2138,0.392,192.0,0.035,0.07,14.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,123,15.286,0,0.0,22.524,2.799,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2439,0.447,221.0,0.04,0.066,15.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,137,15.0,0,0.0,25.088,2.747,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2807,0.514,265.0,0.049,0.057,17.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,178,19.143,0,0.0,32.596,3.506,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3247,0.595,300.0,0.055,0.064,15.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
