date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-18,2,0.0,0,0.0,0.106,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,2,0.0,0,0.0,0.106,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,33,0.002,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,2,0.0,0,0.0,0.106,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,58,0.003,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,2,0.0,0,0.0,0.106,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,3,0.0,0,0.0,0.159,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,75,0.004,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,3,0.429,0,0.0,0.159,0.023,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,3,0.429,0,0.0,0.159,0.023,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,103,0.005,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,12,1.429,0,0.0,0.634,0.076,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,143,0.008,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,16,2.0,0,0.0,0.846,0.106,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,197,0.01,23.0,0.001,0.087,11.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,22,2.857,0,0.0,1.163,0.151,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,269,0.014,30.0,0.002,0.095,10.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,28,3.714,0,0.0,1.48,0.196,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,350,0.018,40.0,0.002,0.093,10.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,29,3.714,0,0.0,1.533,0.196,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,400,0.021,46.0,0.002,0.081,12.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,35,4.571,0,0.0,1.85,0.242,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,475,0.025,55.0,0.003,0.083,12.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,35,4.571,0,0.0,1.85,0.242,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,520,0.027,60.0,0.003,0.076,13.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,36,3.429,0,0.0,1.903,0.181,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,640,0.034,71.0,0.004,0.048,20.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,39,3.286,1,0.143,2.061,0.174,0.053,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,856,0.045,94.0,0.005,0.035,28.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,39,2.429,1,0.143,2.061,0.128,0.053,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,88.0,0.005,0.028,36.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,39,1.571,1,0.143,2.061,0.083,0.053,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,910,0.048,80.0,0.004,0.02,50.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,39,1.429,1,0.143,2.061,0.076,0.053,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,964,0.051,81.0,0.004,0.018,56.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,39,0.571,1,0.143,2.061,0.03,0.053,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,981,0.052,72.0,0.004,0.008,126.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,39,0.571,1,0.143,2.061,0.03,0.053,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1087,0.057,81.0,0.004,0.007,141.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,39,0.429,1,0.143,2.061,0.023,0.053,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1222,0.065,83.0,0.004,0.005,193.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,39,0.0,1,0.0,2.061,0.0,0.053,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1314,0.069,65.0,0.003,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,40,0.143,2,0.143,2.114,0.008,0.106,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1343,0.071,66.0,0.003,0.002,461.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,40,0.143,2,0.143,2.114,0.008,0.106,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1454,0.077,78.0,0.004,0.002,545.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,43,0.571,2,0.143,2.273,0.03,0.106,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1525,0.081,80.0,0.004,0.007,140.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,45,0.857,2,0.143,2.378,0.045,0.106,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1650,0.087,96.0,0.005,0.009,112.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,45,0.857,2,0.143,2.378,0.045,0.106,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1695,0.09,87.0,0.005,0.01,101.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,48,1.286,2,0.143,2.537,0.068,0.106,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1879,0.099,94.0,0.005,0.014,73.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,48,1.286,2,0.143,2.537,0.068,0.106,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2007,0.106,99.0,0.005,0.013,77.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,52,1.714,2,0.0,2.748,0.091,0.106,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2225,0.118,126.0,0.007,0.014,73.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,57,2.429,2,0.0,3.013,0.128,0.106,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2345,0.124,127.0,0.007,0.019,52.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,61,2.571,3,0.143,3.224,0.136,0.159,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2755,0.146,176.0,0.009,0.015,68.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,65,2.857,3,0.143,3.435,0.151,0.159,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3236,0.171,227.0,0.012,0.013,79.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,70,3.571,3,0.143,3.7,0.189,0.159,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3715,0.196,289.0,0.015,0.012,80.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,74,3.714,3,0.143,3.911,0.196,0.159,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4040,0.214,309.0,0.016,0.012,83.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,76,4.0,3,0.143,4.017,0.211,0.159,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4245,0.224,320.0,0.017,0.013,80.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,84,4.571,3,0.143,4.44,0.242,0.159,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4665,0.247,349.0,0.018,0.013,76.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,84,3.857,3,0.143,4.44,0.204,0.159,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4895,0.259,364.0,0.019,0.011,94.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,88,3.857,3,0.0,4.651,0.204,0.159,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5284,0.279,361.0,0.019,0.011,93.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,88,3.286,3,0.0,4.651,0.174,0.159,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,375.0,0.02,0.009,114.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,95,3.571,3,0.0,5.021,0.189,0.159,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6432,0.34,388.0,0.021,0.009,108.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,97,3.286,3,0.0,5.127,0.174,0.159,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6614,0.35,368.0,0.019,0.009,112.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,106,4.286,3,0.0,5.602,0.227,0.159,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6828,0.361,369.0,0.02,0.012,86.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,109,3.571,3,0.0,5.761,0.189,0.159,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6882,0.364,317.0,0.017,0.011,88.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,119,5.0,3,0.0,6.289,0.264,0.159,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7277,0.385,340.0,0.018,0.015,68.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,124,5.143,3,0.0,6.554,0.272,0.159,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,8203,0.434,417.0,0.022,0.012,81.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,137,7.0,3,0.0,7.241,0.37,0.159,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,8636,0.456,397.0,0.021,0.018,56.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,138,6.143,3,0.0,7.294,0.325,0.159,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,10095,0.534,523.0,0.028,0.012,85.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,146,7.0,4,0.143,7.716,0.37,0.211,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,10563,0.558,564.0,0.03,0.012,80.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,153,6.714,4,0.143,8.086,0.355,0.211,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,11412,0.603,655.0,0.035,0.01,97.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,167,8.286,4,0.143,8.826,0.438,0.211,0.008,0,0.0,0,0.0,0.0,0.0,0.0,0.0,12095,0.639,745.0,0.039,0.011,89.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,252,19.0,7,0.571,13.319,1.004,0.37,0.03,0,0.0,0,0.0,0.0,0.0,0.0,0.0,12591,0.665,759.0,0.04,0.025,39.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,267,20.429,7,0.571,14.112,1.08,0.37,0.03,0,0.0,0,0.0,0.0,0.0,0.0,0.0,12841,0.679,663.0,0.035,0.031,32.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,267,18.571,7,0.571,14.112,0.982,0.37,0.03,0,0.0,0,0.0,0.0,0.0,0.0,0.0,13127,0.694,642.0,0.034,0.029,34.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,441,43.286,7,0.571,23.308,2.288,0.37,0.03,0,0.0,0,0.0,0.0,0.0,0.0,0.0,13495,0.713,486.0,0.026,0.089,11.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,446,42.857,7,0.429,23.572,2.265,0.37,0.023,0,0.0,0,0.0,0.0,0.0,0.0,0.0,13927,0.736,481.0,0.025,0.089,11.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,654,71.571,7,0.429,34.565,3.783,0.37,0.023,0,0.0,0,0.0,0.0,0.0,0.0,0.0,15487,0.819,582.0,0.031,0.123,8.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,654,69.571,7,0.429,34.565,3.677,0.37,0.023,0,0.0,0,0.0,0.0,0.0,0.0,0.0,15811,0.836,531.0,0.028,0.131,7.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,679,61.0,7,0.0,35.887,3.224,0.37,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16478,0.871,555.0,0.029,0.11,9.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,753,69.429,7,0.0,39.798,3.669,0.37,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,17354,0.917,645.0,0.034,0.108,9.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,761,70.571,7,0.0,40.221,3.73,0.37,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,17875,0.945,678.0,0.036,0.104,9.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,772,47.286,7,0.0,40.802,2.499,0.37,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,18519,0.979,718.0,0.038,0.066,15.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,832,55.143,7,0.0,43.973,2.914,0.37,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,19014,1.005,727.0,0.038,0.076,13.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21,866,30.286,7,0.0,45.77,1.601,0.37,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,19432,1.027,564.0,0.03,0.054,18.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
